transaction_id,date,month,account_id,account_name,bank_name,department,transaction_type,direction,amount,voucher_id,description,created_by,data_source,type_amount_90th_percentile,large_amount_flag,high_risk_type_flag,duplicate_group_count,duplicate_pattern_flag,year_end_flag,department_transaction_count,department_risk_flag,risk_score,risk_level,recommended_action,risk_flag_summary
T000004,2025-01-06,1,A009,Infrastructure Payment Account,Bank E,Agriculture Department,refund,inflow,68557,V000004,Simulated refund for Agriculture Department,simulated_system,bank_statement,70230.0,0,0,1,0,0,70,0,0,Low,Routine monitoring,no_major_flag
T000026,2025-01-06,1,A008,Health Project Fund Account,Bank D,Social Security Department,budget_execution_payment,outflow,107235,V000026,Simulated budget execution payment for Social Security Department,simulated_system,bank_statement,316246.60000000003,0,0,1,0,0,66,0,0,Low,Routine monitoring,no_major_flag
T000009,2025-01-07,1,A002,Budget Execution Payment Account,Bank A,Community Services Department,off_budget_fund_transfer,inflow,479036,V000009,Simulated off budget fund transfer for Community Services Department,simulated_system,bank_statement,446537.6000000001,1,1,1,0,0,57,0,5,Medium,Review transaction amount and supporting documents,large_amount; high_risk_type
T000015,2025-01-07,1,A013,Year-end Settlement Account,Bank G,Social Security Department,budget_execution_payment,outflow,153983,V000015,Simulated budget execution payment for Social Security Department,simulated_system,bank_statement,316246.60000000003,0,0,1,0,0,66,0,0,Low,Routine monitoring,no_major_flag
T000016,2025-01-07,1,A006,Social Security Transfer Account,Bank C,Transport Department,audit_adjustment,outflow,31306,V000016,Simulated audit adjustment for Transport Department,simulated_system,bank_statement,100457.59999999999,0,1,1,0,0,74,1,3,Medium,Second-level review recommended,high_risk_type; high_activity_department
T000024,2025-01-08,1,A006,Social Security Transfer Account,Bank C,Transport Department,project_fund_payment,outflow,314512,V000024,Simulated project fund payment for Transport Department,simulated_system,bank_statement,748920.0,0,0,1,0,0,74,1,1,Low,Routine monitoring,high_activity_department
T000028,2025-01-08,1,A013,Year-end Settlement Account,Bank G,Urban Management Department,project_fund_payment,outflow,70056,V000028,Simulated project fund payment for Urban Management Department,simulated_system,bank_statement,748920.0,0,0,1,0,0,64,0,0,Low,Routine monitoring,no_major_flag
T000044,2025-01-08,1,A008,Health Project Fund Account,Bank D,Emergency Management Department,budget_execution_payment,outflow,343673,V000044,Simulated budget execution payment for Emergency Management Department,simulated_system,bank_statement,316246.60000000003,1,0,1,0,0,70,0,3,Medium,Review transaction amount and supporting documents,large_amount
T000030,2025-01-10,1,A006,Social Security Transfer Account,Bank C,Emergency Management Department,audit_adjustment,outflow,41158,V000030,Simulated audit adjustment for Emergency Management Department,simulated_system,bank_statement,100457.59999999999,0,1,1,0,0,70,0,2,Low,Second-level review recommended,high_risk_type
T000011,2025-01-12,1,A008,Health Project Fund Account,Bank D,Environmental Protection Department,refund,inflow,15545,V000011,Simulated refund for Environmental Protection Department,simulated_system,bank_statement,70230.0,0,0,1,0,0,70,0,0,Low,Routine monitoring,no_major_flag
T000037,2025-01-13,1,A002,Budget Execution Payment Account,Bank A,Urban Management Department,temporary_holding,inflow,11062,V000037,Simulated temporary holding for Urban Management Department,simulated_system,bank_statement,219627.5,0,1,1,0,0,64,0,2,Low,Second-level review recommended,high_risk_type
T000041,2025-01-13,1,A011,Inter-fund Transfer Account,Bank F,Transport Department,project_fund_payment,outflow,613586,V000041,Simulated project fund payment for Transport Department,simulated_system,bank_statement,748920.0,0,0,1,0,0,74,1,1,Low,Routine monitoring,high_activity_department
T000036,2025-01-14,1,A010,Temporary Holding Account,Bank E,Social Security Department,non_tax_revenue_collection,inflow,64163,V000036,Simulated non tax revenue collection for Social Security Department,simulated_system,bank_statement,163417.0,0,0,1,0,0,66,0,0,Low,Routine monitoring,no_major_flag
T000018,2025-01-16,1,A005,Special Fund Account,Bank C,Finance Bureau Internal Unit,project_fund_payment,outflow,753714,V000018,Simulated project fund payment for Finance Bureau Internal Unit,simulated_system,bank_statement,748920.0,1,0,1,0,0,77,1,4,Medium,Review transaction amount and supporting documents,large_amount; high_activity_department
T000039,2025-01-16,1,A005,Special Fund Account,Bank C,Education Department,budget_execution_payment,outflow,48295,V000039,Simulated budget execution payment for Education Department,simulated_system,bank_statement,316246.60000000003,0,0,1,0,0,56,0,0,Low,Routine monitoring,no_major_flag
T000042,2025-01-16,1,A003,Non-tax Revenue Collection Account,Bank B,Agriculture Department,project_fund_payment,outflow,178148,V000042,Simulated project fund payment for Agriculture Department,simulated_system,bank_statement,748920.0,0,0,1,0,0,70,0,0,Low,Routine monitoring,no_major_flag
T000045,2025-01-16,1,A013,Year-end Settlement Account,Bank G,Infrastructure Department,temporary_holding,inflow,176619,V000045,Simulated temporary holding for Infrastructure Department,simulated_system,bank_statement,219627.5,0,1,1,0,0,64,0,2,Low,Second-level review recommended,high_risk_type
T000017,2025-01-19,1,A012,Audit Adjustment Account,Bank F,Infrastructure Department,non_tax_revenue_collection,inflow,122858,V000017,Simulated non tax revenue collection for Infrastructure Department,simulated_system,bank_statement,163417.0,0,0,1,0,0,64,0,0,Low,Routine monitoring,no_major_flag
T000020,2025-01-21,1,A010,Temporary Holding Account,Bank E,Education Department,project_fund_payment,outflow,623665,V000020,Simulated project fund payment for Education Department,simulated_system,bank_statement,748920.0,0,0,1,0,0,56,0,0,Low,Routine monitoring,no_major_flag
T000001,2025-01-22,1,A010,Temporary Holding Account,Bank E,Urban Management Department,budget_execution_payment,outflow,61090,V000001,Simulated budget execution payment for Urban Management Department,simulated_system,bank_statement,316246.60000000003,0,0,1,0,0,64,0,0,Low,Routine monitoring,no_major_flag
T000023,2025-01-22,1,A001,Treasury Main Account,Bank A,Culture and Tourism Department,inter_fund_transfer,outflow,413002,V000023,Simulated inter fund transfer for Culture and Tourism Department,simulated_system,bank_statement,509918.00000000006,0,1,1,0,0,81,1,3,Medium,Second-level review recommended,high_risk_type; high_activity_department
T000013,2025-01-23,1,A008,Health Project Fund Account,Bank D,Social Security Department,off_budget_fund_transfer,inflow,187381,V000013,Simulated off budget fund transfer for Social Security Department,simulated_system,bank_statement,446537.6000000001,0,1,1,0,0,66,0,2,Low,Second-level review recommended,high_risk_type
T000046,2025-01-23,1,A008,Health Project Fund Account,Bank D,Environmental Protection Department,project_fund_payment,outflow,218964,V000046,Simulated project fund payment for Environmental Protection Department,simulated_system,bank_statement,748920.0,0,0,1,0,0,70,0,0,Low,Routine monitoring,no_major_flag
T000005,2025-01-24,1,A005,Special Fund Account,Bank C,Emergency Management Department,inter_fund_transfer,outflow,553556,V000005,Simulated inter fund transfer for Emergency Management Department,simulated_system,bank_statement,509918.00000000006,1,1,1,0,0,70,0,5,Medium,Review transaction amount and supporting documents,large_amount; high_risk_type
T000012,2025-01-24,1,A003,Non-tax Revenue Collection Account,Bank B,Education Department,off_budget_fund_transfer,inflow,246688,V000012,Simulated off budget fund transfer for Education Department,simulated_system,bank_statement,446537.6000000001,0,1,1,0,0,56,0,2,Low,Second-level review recommended,high_risk_type
T000019,2025-01-24,1,A007,Education Fund Account,Bank D,Environmental Protection Department,budget_execution_payment,outflow,155059,V000019,Simulated budget execution payment for Environmental Protection Department,simulated_system,bank_statement,316246.60000000003,0,0,1,0,0,70,0,0,Low,Routine monitoring,no_major_flag
T000010,2025-01-25,1,A001,Treasury Main Account,Bank A,Culture and Tourism Department,off_budget_fund_transfer,outflow,438923,V000010,Simulated off budget fund transfer for Culture and Tourism Department,simulated_system,bank_statement,446537.6000000001,0,1,1,0,0,81,1,3,Medium,Second-level review recommended,high_risk_type; high_activity_department
T000050,2025-01-25,1,A008,Health Project Fund Account,Bank D,Education Department,year_end_settlement,inflow,329770,V000050,Simulated year end settlement for Education Department,simulated_system,bank_statement,600508.3,0,1,1,0,0,56,0,2,Low,Second-level review recommended,high_risk_type
T000003,2025-01-26,1,A010,Temporary Holding Account,Bank E,Finance Bureau Internal Unit,audit_adjustment,outflow,74969,V000003,Simulated audit adjustment for Finance Bureau Internal Unit,simulated_system,bank_statement,100457.59999999999,0,1,1,0,0,77,1,3,Medium,Second-level review recommended,high_risk_type; high_activity_department
T000025,2025-01-26,1,A005,Special Fund Account,Bank C,Agriculture Department,non_tax_revenue_collection,inflow,60609,V000025,Simulated non tax revenue collection for Agriculture Department,simulated_system,bank_statement,163417.0,0,0,1,0,0,70,0,0,Low,Routine monitoring,no_major_flag
T000027,2025-01-26,1,A012,Audit Adjustment Account,Bank F,Urban Management Department,non_tax_revenue_collection,inflow,117566,V000027,Simulated non tax revenue collection for Urban Management Department,simulated_system,bank_statement,163417.0,0,0,1,0,0,64,0,0,Low,Routine monitoring,no_major_flag
T000033,2025-01-26,1,A012,Audit Adjustment Account,Bank F,Urban Management Department,non_tax_revenue_collection,inflow,8267,V000033,Simulated non tax revenue collection for Urban Management Department,simulated_system,bank_statement,163417.0,0,0,1,0,0,64,0,0,Low,Routine monitoring,no_major_flag
T000038,2025-01-26,1,A004,Off-budget Fund Account,Bank B,Transport Department,budget_execution_payment,outflow,174697,V000038,Simulated budget execution payment for Transport Department,simulated_system,bank_statement,316246.60000000003,0,0,1,0,0,74,1,1,Low,Routine monitoring,high_activity_department
T000008,2025-01-27,1,A010,Temporary Holding Account,Bank E,Finance Bureau Internal Unit,budget_execution_payment,outflow,110982,V000008,Simulated budget execution payment for Finance Bureau Internal Unit,simulated_system,bank_statement,316246.60000000003,0,0,1,0,0,77,1,1,Low,Routine monitoring,high_activity_department
T000040,2025-01-27,1,A002,Budget Execution Payment Account,Bank A,Emergency Management Department,non_tax_revenue_collection,inflow,31790,V000040,Simulated non tax revenue collection for Emergency Management Department,simulated_system,bank_statement,163417.0,0,0,1,0,0,70,0,0,Low,Routine monitoring,no_major_flag
T000051,2025-01-27,1,A001,Treasury Main Account,Bank A,Infrastructure Department,project_fund_payment,outflow,600222,V000051,Simulated project fund payment for Infrastructure Department,simulated_system,bank_statement,748920.0,0,0,1,0,0,64,0,0,Low,Routine monitoring,no_major_flag
T000002,2025-01-28,1,A011,Inter-fund Transfer Account,Bank F,Transport Department,off_budget_fund_transfer,inflow,179503,V000002,Simulated off budget fund transfer for Transport Department,simulated_system,bank_statement,446537.6000000001,0,1,1,0,0,74,1,3,Medium,Second-level review recommended,high_risk_type; high_activity_department
T000031,2025-01-28,1,A012,Audit Adjustment Account,Bank F,Education Department,project_fund_payment,outflow,586226,V000031,Simulated project fund payment for Education Department,simulated_system,bank_statement,748920.0,0,0,1,0,0,56,0,0,Low,Routine monitoring,no_major_flag
T000049,2025-01-28,1,A008,Health Project Fund Account,Bank D,Environmental Protection Department,project_fund_payment,outflow,142193,V000049,Simulated project fund payment for Environmental Protection Department,simulated_system,bank_statement,748920.0,0,0,1,0,0,70,0,0,Low,Routine monitoring,no_major_flag
T000007,2025-01-30,1,A003,Non-tax Revenue Collection Account,Bank B,Environmental Protection Department,budget_execution_payment,outflow,317366,V000007,Simulated budget execution payment for Environmental Protection Department,simulated_system,bank_statement,316246.60000000003,1,0,1,0,0,70,0,3,Medium,Review transaction amount and supporting documents,large_amount
T000035,2025-01-30,1,A013,Year-end Settlement Account,Bank G,Education Department,refund,inflow,23352,V000035,Simulated refund for Education Department,simulated_system,bank_statement,70230.0,0,0,1,0,0,56,0,0,Low,Routine monitoring,no_major_flag
T000063,2025-02-01,2,A001,Treasury Main Account,Bank A,Emergency Management Department,off_budget_fund_transfer,inflow,419678,V000063,Simulated off budget fund transfer for Emergency Management Department,simulated_system,bank_statement,446537.6000000001,0,1,1,0,0,70,0,2,Low,Second-level review recommended,high_risk_type
T000077,2025-02-01,2,A006,Social Security Transfer Account,Bank C,Culture and Tourism Department,off_budget_fund_transfer,inflow,181878,V000077,Simulated off budget fund transfer for Culture and Tourism Department,simulated_system,bank_statement,446537.6000000001,0,1,1,0,0,81,1,3,Medium,Second-level review recommended,high_risk_type; high_activity_department
T000095,2025-02-01,2,A008,Health Project Fund Account,Bank D,Emergency Management Department,non_tax_revenue_collection,inflow,163417,V000095,Simulated non tax revenue collection for Emergency Management Department,simulated_system,bank_statement,163417.0,0,0,1,0,0,70,0,0,Low,Routine monitoring,no_major_flag
T000059,2025-02-02,2,A006,Social Security Transfer Account,Bank C,Environmental Protection Department,project_fund_payment,outflow,76069,V000059,Simulated project fund payment for Environmental Protection Department,simulated_system,bank_statement,748920.0,0,0,1,0,0,70,0,0,Low,Routine monitoring,no_major_flag
T000075,2025-02-02,2,A006,Social Security Transfer Account,Bank C,Community Services Department,audit_adjustment,outflow,9666,V000075,Simulated audit adjustment for Community Services Department,simulated_system,bank_statement,100457.59999999999,0,1,1,0,0,57,0,2,Low,Second-level review recommended,high_risk_type
T000083,2025-02-02,2,A009,Infrastructure Payment Account,Bank E,Urban Management Department,temporary_holding,inflow,121496,V000083,Simulated temporary holding for Urban Management Department,simulated_system,bank_statement,219627.5,0,1,1,0,0,64,0,2,Low,Second-level review recommended,high_risk_type
T000056,2025-02-03,2,A004,Off-budget Fund Account,Bank B,Social Security Department,temporary_holding,inflow,137600,V000056,Simulated temporary holding for Social Security Department,simulated_system,bank_statement,219627.5,0,1,1,0,0,66,0,2,Low,Second-level review recommended,high_risk_type
T000066,2025-02-03,2,A013,Year-end Settlement Account,Bank G,Urban Management Department,refund,inflow,32523,V000066,Simulated refund for Urban Management Department,simulated_system,bank_statement,70230.0,0,0,1,0,0,64,0,0,Low,Routine monitoring,no_major_flag
T000068,2025-02-03,2,A006,Social Security Transfer Account,Bank C,Culture and Tourism Department,budget_execution_payment,outflow,74917,V000068,Simulated budget execution payment for Culture and Tourism Department,simulated_system,bank_statement,316246.60000000003,0,0,1,0,0,81,1,1,Low,Routine monitoring,high_activity_department
T000072,2025-02-04,2,A005,Special Fund Account,Bank C,Urban Management Department,budget_execution_payment,outflow,231951,V000072,Simulated budget execution payment for Urban Management Department,simulated_system,bank_statement,316246.60000000003,0,0,1,0,0,64,0,0,Low,Routine monitoring,no_major_flag
T000088,2025-02-04,2,A008,Health Project Fund Account,Bank D,Education Department,non_tax_revenue_collection,inflow,94599,V000088,Simulated non tax revenue collection for Education Department,simulated_system,bank_statement,163417.0,0,0,1,0,0,56,0,0,Low,Routine monitoring,no_major_flag
T000060,2025-02-06,2,A011,Inter-fund Transfer Account,Bank F,Urban Management Department,non_tax_revenue_collection,inflow,22260,V000060,Simulated non tax revenue collection for Urban Management Department,simulated_system,bank_statement,163417.0,0,0,1,0,0,64,0,0,Low,Routine monitoring,no_major_flag
T000067,2025-02-06,2,A007,Education Fund Account,Bank D,Education Department,non_tax_revenue_collection,inflow,148026,V000067,Simulated non tax revenue collection for Education Department,simulated_system,bank_statement,163417.0,0,0,1,0,0,56,0,0,Low,Routine monitoring,no_major_flag
T000070,2025-02-08,2,A011,Inter-fund Transfer Account,Bank F,Urban Management Department,off_budget_fund_transfer,outflow,421182,V000070,Simulated off budget fund transfer for Urban Management Department,simulated_system,bank_statement,446537.6000000001,0,1,1,0,0,64,0,2,Low,Second-level review recommended,high_risk_type
T000071,2025-02-08,2,A007,Education Fund Account,Bank D,Agriculture Department,budget_execution_payment,outflow,34153,V000071,Simulated budget execution payment for Agriculture Department,simulated_system,bank_statement,316246.60000000003,0,0,1,0,0,70,0,0,Low,Routine monitoring,no_major_flag
T000061,2025-02-09,2,A012,Audit Adjustment Account,Bank F,Culture and Tourism Department,budget_execution_payment,outflow,178518,V000061,Simulated budget execution payment for Culture and Tourism Department,simulated_system,bank_statement,316246.60000000003,0,0,1,0,0,81,1,1,Low,Routine monitoring,high_activity_department
T000074,2025-02-09,2,A009,Infrastructure Payment Account,Bank E,Urban Management Department,budget_execution_payment,outflow,162766,V000074,Simulated budget execution payment for Urban Management Department,simulated_system,bank_statement,316246.60000000003,0,0,1,0,0,64,0,0,Low,Routine monitoring,no_major_flag
T000086,2025-02-10,2,A011,Inter-fund Transfer Account,Bank F,Agriculture Department,refund,inflow,50756,V000086,Simulated refund for Agriculture Department,simulated_system,bank_statement,70230.0,0,0,1,0,0,70,0,0,Low,Routine monitoring,no_major_flag
T000065,2025-02-11,2,A004,Off-budget Fund Account,Bank B,Finance Bureau Internal Unit,year_end_settlement,inflow,693927,V000065,Simulated year end settlement for Finance Bureau Internal Unit,simulated_system,bank_statement,600508.3,1,1,1,0,0,77,1,6,High,Immediate review required,large_amount; high_risk_type; high_activity_department
T000073,2025-02-11,2,A011,Inter-fund Transfer Account,Bank F,Culture and Tourism Department,budget_execution_payment,outflow,154869,V000073,Simulated budget execution payment for Culture and Tourism Department,simulated_system,bank_statement,316246.60000000003,0,0,1,0,0,81,1,1,Low,Routine monitoring,high_activity_department
T000085,2025-02-11,2,A012,Audit Adjustment Account,Bank F,Agriculture Department,inter_fund_transfer,outflow,356676,V000085,Simulated inter fund transfer for Agriculture Department,simulated_system,bank_statement,509918.00000000006,0,1,1,0,0,70,0,2,Low,Second-level review recommended,high_risk_type
T000055,2025-02-13,2,A004,Off-budget Fund Account,Bank B,Community Services Department,non_tax_revenue_collection,inflow,96865,V000055,Simulated non tax revenue collection for Community Services Department,simulated_system,bank_statement,163417.0,0,0,1,0,0,57,0,0,Low,Routine monitoring,no_major_flag
T000057,2025-02-15,2,A012,Audit Adjustment Account,Bank F,Transport Department,refund,inflow,57658,V000057,Simulated refund for Transport Department,simulated_system,bank_statement,70230.0,0,0,1,0,0,74,1,1,Low,Routine monitoring,high_activity_department
T000082,2025-02-15,2,A006,Social Security Transfer Account,Bank C,Urban Management Department,refund,inflow,44880,V000082,Simulated refund for Urban Management Department,simulated_system,bank_statement,70230.0,0,0,1,0,0,64,0,0,Low,Routine monitoring,no_major_flag
T000052,2025-02-17,2,A005,Special Fund Account,Bank C,Emergency Management Department,temporary_holding,inflow,65479,V000052,Simulated temporary holding for Emergency Management Department,simulated_system,bank_statement,219627.5,0,1,1,0,0,70,0,2,Low,Second-level review recommended,high_risk_type
T000091,2025-02-17,2,A010,Temporary Holding Account,Bank E,Emergency Management Department,temporary_holding,inflow,16960,V000091,Simulated temporary holding for Emergency Management Department,simulated_system,bank_statement,219627.5,0,1,1,0,0,70,0,2,Low,Second-level review recommended,high_risk_type
T000096,2025-02-17,2,A004,Off-budget Fund Account,Bank B,Urban Management Department,year_end_settlement,inflow,452845,V000096,Simulated year end settlement for Urban Management Department,simulated_system,bank_statement,600508.3,0,1,1,0,0,64,0,2,Low,Second-level review recommended,high_risk_type
T000053,2025-02-19,2,A003,Non-tax Revenue Collection Account,Bank B,Finance Bureau Internal Unit,project_fund_payment,outflow,95002,V000053,Simulated project fund payment for Finance Bureau Internal Unit,simulated_system,bank_statement,748920.0,0,0,1,0,0,77,1,1,Low,Routine monitoring,high_activity_department
T000080,2025-02-19,2,A006,Social Security Transfer Account,Bank C,Education Department,temporary_holding,inflow,82258,V000080,Simulated temporary holding for Education Department,simulated_system,bank_statement,219627.5,0,1,1,0,0,56,0,2,Low,Second-level review recommended,high_risk_type
T000084,2025-02-19,2,A007,Education Fund Account,Bank D,Education Department,budget_execution_payment,outflow,179601,V000084,Simulated budget execution payment for Education Department,simulated_system,bank_statement,316246.60000000003,0,0,1,0,0,56,0,0,Low,Routine monitoring,no_major_flag
T000089,2025-02-19,2,A010,Temporary Holding Account,Bank E,Infrastructure Department,budget_execution_payment,outflow,264883,V000089,Simulated budget execution payment for Infrastructure Department,simulated_system,bank_statement,316246.60000000003,0,0,1,0,0,64,0,0,Low,Routine monitoring,no_major_flag
T000064,2025-02-20,2,A010,Temporary Holding Account,Bank E,Education Department,year_end_settlement,inflow,287665,V000064,Simulated year end settlement for Education Department,simulated_system,bank_statement,600508.3,0,1,1,0,0,56,0,2,Low,Second-level review recommended,high_risk_type
T000093,2025-02-21,2,A004,Off-budget Fund Account,Bank B,Culture and Tourism Department,off_budget_fund_transfer,inflow,198270,V000093,Simulated off budget fund transfer for Culture and Tourism Department,simulated_system,bank_statement,446537.6000000001,0,1,1,0,0,81,1,3,Medium,Second-level review recommended,high_risk_type; high_activity_department
T000058,2025-02-22,2,A008,Health Project Fund Account,Bank D,Emergency Management Department,non_tax_revenue_collection,inflow,100462,V000058,Simulated non tax revenue collection for Emergency Management Department,simulated_system,bank_statement,163417.0,0,0,1,0,0,70,0,0,Low,Routine monitoring,no_major_flag
T000078,2025-02-22,2,A007,Education Fund Account,Bank D,Transport Department,refund,inflow,30865,V000078,Simulated refund for Transport Department,simulated_system,bank_statement,70230.0,0,0,1,0,0,74,1,1,Low,Routine monitoring,high_activity_department
T000081,2025-02-23,2,A007,Education Fund Account,Bank D,Health Department,budget_execution_payment,outflow,264446,V000081,Simulated budget execution payment for Health Department,simulated_system,bank_statement,316246.60000000003,0,0,1,0,0,63,0,0,Low,Routine monitoring,no_major_flag
T000062,2025-02-24,2,A001,Treasury Main Account,Bank A,Agriculture Department,budget_execution_payment,outflow,132221,V000062,Simulated budget execution payment for Agriculture Department,simulated_system,bank_statement,316246.60000000003,0,0,1,0,0,70,0,0,Low,Routine monitoring,no_major_flag
T000094,2025-02-24,2,A001,Treasury Main Account,Bank A,Infrastructure Department,off_budget_fund_transfer,outflow,119613,V000094,Simulated off budget fund transfer for Infrastructure Department,simulated_system,bank_statement,446537.6000000001,0,1,1,0,0,64,0,2,Low,Second-level review recommended,high_risk_type
T000097,2025-02-24,2,A003,Non-tax Revenue Collection Account,Bank B,Health Department,budget_execution_payment,outflow,53933,V000097,Simulated budget execution payment for Health Department,simulated_system,bank_statement,316246.60000000003,0,0,1,0,0,63,0,0,Low,Routine monitoring,no_major_flag
T000090,2025-02-25,2,A007,Education Fund Account,Bank D,Culture and Tourism Department,off_budget_fund_transfer,outflow,85337,V000090,Simulated off budget fund transfer for Culture and Tourism Department,simulated_system,bank_statement,446537.6000000001,0,1,1,0,0,81,1,3,Medium,Second-level review recommended,high_risk_type; high_activity_department
T000092,2025-02-25,2,A004,Off-budget Fund Account,Bank B,Health Department,project_fund_payment,outflow,514071,V000092,Simulated project fund payment for Health Department,simulated_system,bank_statement,748920.0,0,0,1,0,0,63,0,0,Low,Routine monitoring,no_major_flag
T000054,2025-02-26,2,A002,Budget Execution Payment Account,Bank A,Infrastructure Department,project_fund_payment,outflow,603020,V000054,Simulated project fund payment for Infrastructure Department,simulated_system,bank_statement,748920.0,0,0,1,0,0,64,0,0,Low,Routine monitoring,no_major_flag
T000076,2025-02-26,2,A002,Budget Execution Payment Account,Bank A,Transport Department,temporary_holding,inflow,14757,V000076,Simulated temporary holding for Transport Department,simulated_system,bank_statement,219627.5,0,1,1,0,0,74,1,3,Medium,Second-level review recommended,high_risk_type; high_activity_department
T000087,2025-02-26,2,A007,Education Fund Account,Bank D,Health Department,audit_adjustment,inflow,90563,V000087,Simulated audit adjustment for Health Department,simulated_system,bank_statement,100457.59999999999,0,1,1,0,0,63,0,2,Low,Second-level review recommended,high_risk_type
T000069,2025-02-27,2,A007,Education Fund Account,Bank D,Culture and Tourism Department,non_tax_revenue_collection,inflow,69484,V000069,Simulated non tax revenue collection for Culture and Tourism Department,simulated_system,bank_statement,163417.0,0,0,1,0,0,81,1,1,Low,Routine monitoring,high_activity_department
T000079,2025-02-28,2,A008,Health Project Fund Account,Bank D,Health Department,off_budget_fund_transfer,outflow,243046,V000079,Simulated off budget fund transfer for Health Department,simulated_system,bank_statement,446537.6000000001,0,1,1,0,0,63,0,2,Low,Second-level review recommended,high_risk_type
T000104,2025-03-01,3,A006,Social Security Transfer Account,Bank C,Community Services Department,off_budget_fund_transfer,outflow,228747,V000104,Simulated off budget fund transfer for Community Services Department,simulated_system,bank_statement,446537.6000000001,0,1,1,0,0,57,0,2,Low,Second-level review recommended,high_risk_type
T000161,2025-03-02,3,A003,Non-tax Revenue Collection Account,Bank B,Transport Department,non_tax_revenue_collection,inflow,109576,V000161,Simulated non tax revenue collection for Transport Department,simulated_system,bank_statement,163417.0,0,0,1,0,0,74,1,1,Low,Routine monitoring,high_activity_department
T000100,2025-03-03,3,A006,Social Security Transfer Account,Bank C,Social Security Department,budget_execution_payment,outflow,328744,V000100,Simulated budget execution payment for Social Security Department,simulated_system,bank_statement,316246.60000000003,1,0,1,0,0,66,0,3,Medium,Review transaction amount and supporting documents,large_amount
T000128,2025-03-03,3,A009,Infrastructure Payment Account,Bank E,Agriculture Department,budget_execution_payment,outflow,190102,V000128,Simulated budget execution payment for Agriculture Department,simulated_system,bank_statement,316246.60000000003,0,0,1,0,0,70,0,0,Low,Routine monitoring,no_major_flag
T000148,2025-03-03,3,A011,Inter-fund Transfer Account,Bank F,Culture and Tourism Department,project_fund_payment,outflow,220963,V000148,Simulated project fund payment for Culture and Tourism Department,simulated_system,bank_statement,748920.0,0,0,1,0,0,81,1,1,Low,Routine monitoring,high_activity_department
